['Apple MacBook Air 13.6" M2 256GB SSD 8GB Space Gray (new model 2022)', 'MLXW3LL/A'] 
['Apple MacBook Air 13.6" M2 512GB SSD 8GB Space Gray (new model 2022)', 'MLXX3LL/A'] 
['Apple Macbook Pro 13" M1 256 8GB Silver', 'MYDA2LL/A'] 
['Apple MacBook Pro 13" M1 512 8GB Space Gray', 'MYD92LL/A'] 
['Apple MacBook Pro 13" M1 1TB SSD 16GB Space Gray', 'MJ123LL/A'] 
['Apple MacBook Pro 13.6" M2 256GB SSD 8GB Space Gray (new model 2022)', 'MNEH3LL/A'] 
['Apple MacBook Pro 13.6" M2 256GB SSD 8GB Silver (new model 2022)', 'MNEP3LL/A'] 
['Apple MacBook Pro 13.6" M2 256GB SSD 16GB Silver (new model 2022)', 'Z16R0005S'] 
['Apple MacBook Pro 13.6" M2 256GB SSD 16GB Silver (new model 2022)', 'Z16R0005U'] 
['Apple MacBook Pro 13.6" M2 512GB SSD 8GB Space Gray (new model 2022)', 'MNEJ3LL/A'] 
['Apple MacBook Pro M1 Pro 512GB SSD 16GB 14.0" (3024x1964) Retina XDR MacOS SPACE GRAY', 'MKGP3LL/A'] 
['Apple MacBook Pro M1 Pro 1TB SSD 16GB 14.0" (3024x1964) Retina XDR MacOS SPACE GRAY', 'MKGQ3LL/A'] 
['Apple MacBook Pro M1 Pro 512GB SSD 16GB 14.0" (3024x1964) Retina XDR MacOS SILVER', 'MKGR3LL/A'] 
['Asus TUF F15 TUF506HM-ES76 GAMING Core™ i7-11800H 2.3GHz 1TB SSD 16GB 15.6" (1920x1080) 144Hz BT WIN10 Webcam NVIDIA® RTX 3060 6144MB ECLIPSE GRAY Backlit Keyboard MIL-STD-810H.', 'TUF506HM-ES76'] 
['Asus ROG STRIX GAMING Ryzen™ 9 5900HX 1TB SSD 16GB 15.6" (1920x1080) 144Hz IPS WIN10 NVIDIA® RTX 3050Ti 4096MB ECLIPSE GRAY RGB Backlit Keyboard. ', 'G513QE-WH96'] 
['Asus ROG ZEPHYRUS GU603ZM GAMING Core™ i7-12700H 512GB SSD 16GB 16" WUXGA (1920x1200) 165Hz WIN11 NVIDIA® RTX 3060 6144MB OFF BLACK Backlit Keyboard. 1 Year Warranty, Retail Box, New Factory Sealed', 'GU603ZM-M16.I7 3060'] 
['Samsung Galaxy Book Pro 360 15 2-IN-1 CONVERTIBLE Core™ i7-1165G7 512GB SSD 8GB 15.6" (1920x1080) TOUCHSCREEN AMOLED WIN10 MYSTIC NAVY Backlit Keyboard FP Reader', 'NP950QDB-KB2US'] 
['INSPIRON I5310-5682SLV-PUS INTEL CORE I5 11320H 16GB DDR4 512GB SSD 13.3 FHD', 'I5310-5682SLV-PUS'] 
